ID	DoC	How	APP	Wat	Age	Sex	Inc	Reg
3880256330	1	1	1	2	4	1	3	5
3880230736	1	3	1	3	4	1	4	1
3880219305	2	5	1	2	4	1	3	5
3880210450	1	3	1	1	4	1	3	5
3880208319	1	5	1	2	1	1	3	4
3880187634	1	5	1	3	4	1	8	5
3880162442	1	1	1	2	2	1	2	3
3880131987	1	1	1	2	4	1	4	5
3880129691	1	1	1	1	4	1	12	1
3880099657	1	6	1	3	4	1	2	8
3880086571	1	1	1	1	4	1	4	5
3880033304	1	6	1	1	2	1	7	3
3879970050	1	1	1	1	2	3	2	1
3879946254	1	3	1	1	4	1	1	7
3879934990	2	6	1	3	4	1	3	7
3879902865	1	8	1	3	4	1	9	3
3879887212	1	1	1	1	4	1	11	5
3879876964	2	8	1	2	2	1	7	1
3879874372	1	6	1	1	4	1	10	4
3879823141	1	3	1	3	4	1	10	5
3879815451	2	7	1	2	4	1	9	3
3879622928	1	3	1	3	2	1	3	6
3879622165	1	3	1	2	4	1	8	3
3879618163	1	2	7	1	4	1	5	7
3879505742	2	1	1	2	4	1	3	1
3879492127	1	5	1	2	2	1	1	10
3879466790	2	9	1	1	2	1	2	2
3879405493	2	1	1	2	4	1	12	5
3879399705	2	3	1	2	1	1	1	8
3879387300	1	1	1	3	4	1	10	9
3879361333	1	2	30	1	4	1	5	4
3879332676	1	2	31	1	4	1	9	7
3879327814	1	2	32	2	4	1	2	9
3879326602	1	1	1	1	4	1	3	7
3879325675	2	7	1	3	2	1	2	2
3879323844	1	3	1	2	4	1	5	5
3879315853	1	3	1	2	4	1	9	6
3879274139	1	6	1	2	5	3	3	7
3879266798	1	3	1	1	5	3	9	7
3879261981	1	3	1	1	5	3	2	1
3879258283	1	5	1	1	5	3	1	9
3879248890	1	2	33	1	5	3	1	6
3879245036	1	2	34	1	5	3	3	5
3879210502	1	5	1	2	4	1	1	4
3879207640	1	3	1	2	4	1	5	1
3879205854	1	1	1	3	2	1	3	9
3879196296	1	6	1	1	5	3	1	1
3879194705	1	1	1	1	4	1	8	8
3879189511	1	1	1	1	1	1	3	1
3879186514	1	6	1	1	5	3	2	4
3879159385	1	1	1	1	5	3	1	8
3879157578	2	6	1	2	1	1	5	7
3879152338	2	1	1	2	1	1	12	1
3879139489	1	9	1	3	5	3	9	4
3879106766	1	1	1	1	5	1	7	3
3879102520	1	6	1	1	4	1	1	7
3879102450	1	3	1	2	5	3	9	10
3879094933	1	5	1	1	4	1	1	7
3879090979	1	1	1	2	5	1	10	9
3879055766	1	2	35	3	4	1	12	3
3879048742	1	1	1	2	4	1	2	1
3879043041	1	6	1	5	5	3	9	7
3879024100	1	8	1	1	5	1	3	6
3879022427	1	2	36	3	5	3	5	7
3879018623	1	3	1	2	5	3	3	3
3879014394	1	2	37	5	5	1	1	3
3878997264	1	2	38	1	5	1	10	3
3878995654	1	5	1	3	4	1	11	3
3878993313	1	6	1	3	5	3	3	4
3878975679	1	6	1	5	5	3	8	1
3878973380	1	3	1	1	4	1	9	10
3878972273	1	1	1	3	4	1	3	3
3878971737	1	3	1	1	5	3	1	9
3878964663	1	8	1	5	5	3	9	3
3878957212	2	6	1	3	4	1	9	1
3878949789	1	2	6	2	5	1	12	3
3878945643	1	6	1	2	5	1	5	3
3878940858	1	6	1	5	5	1	7	2
3878922314	1	1	1	5	4	1	11	7
3878908574	1	3	1	1	4	1	11	6
3878851367	1	5	1	1	5	3	2	7
3878801345	1	6	1	1	5	1	3	1
3878776250	1	6	1	3	5	1	2	1
3878773688	1	1	1	1	4	1	1	7
3878724412	1	5	1	3	4	1	3	4
3878675581	1	1	1	1	2	1	8	3
3878672825	1	2	29	2	1	3	3	5
3878664404	1	9	1	1	5	1	1	5
3878664002	1	2	39	5	5	1	5	7
3878617605	2	8	1	3	4	1	2	5
3878604937	2	5	1	2	4	1	3	3
3878604458	1	6	1	2	1	3	7	10
3878594142	2	7	1	3	1	3	8	2
3878581130	1	6	1	2	5	3	9	7
3878580386	1	1	1	2	1	3	8	5
3878574698	1	2	40	3	1	3	8	5
3878562127	2	6	1	3	5	1	2	5
3878555115	1	2	25	2	1	3	2	5
3878547877	2	5	1	5	5	3	1	5
3878539231	2	5	1	2	4	1	3	1
3878537531	2	1	1	3	5	1	2	5
3878536105	1	2	41	2	1	3	8	5
3878534855	1	7	1	3	5	3	3	5
3878533095	1	1	1	1	1	3	7	6
3878527607	2	1	1	5	5	3	1	5
3878526543	1	2	42	1	5	1	10	3
3878522121	1	3	1	3	4	1	5	3
3878521585	2	2	43	5	1	3	8	5
3878520921	1	1	1	1	5	3	11	5
3878517202	1	5	1	2	5	3	1	7
3878516380	1	2	44	2	1	3	2	2
3878513419	2	1	1	3	5	1	2	5
3878510837	2	1	1	3	1	3	5	5
3878488034	1	1	1	1	5	1	3	5
3878487715	1	7	1	2	5	3	2	5
3878487142	2	5	1	3	5	3	3	6
3878483534	2	5	1	2	5	1	2	5
3878479362	1	3	1	1	1	3	1	5
3878466821	1	2	45	1	5	3	2	5
3878465693	1	1	1	1	1	3	2	8
3878464503	1	7	1	3	5	3	4	5
3878462883	2	6	1	2	1	1	2	5
3878450038	1	6	1	3	5	1	2	4
3878449625	2	6	1	3	1	3	8	5
3878445660	1	6	1	1	4	1	5	5
3878443579	1	5	1	2	4	1	3	5
3878436241	2	5	1	5	5	3	12	5
3878436018	1	5	1	1	2	1	5	5
3878432043	1	1	1	2	1	3	8	1
3878431247	1	3	1	1	5	3	5	5
3878426886	1	3	1	5	1	3	3	4
3878426515	1	6	1	3	5	1	1	9
3878425988	2	5	1	5	5	3	2	5
3878424879	1	6	1	3	5	1	8	8
3878417014	1	5	1	1	5	3	9	7
3878413474	1	5	1	1	1	3	2	1
3878409427	2	1	1	1	1	3	5	1
3878405540	2	5	1	5	5	1	1	1
3878404884	1	3	1	1	5	1	8	3
3878404363	2	1	1	1	5	3	11	1
3878404022	1	1	1	1	1	3	4	3
3878401700	1	6	1	2	5	3	5	6
3878398785	1	1	1	2	1	3	3	1
3878396691	1	6	1	3	1	1	9	6
3878392986	2	7	1	1	5	3	8	3
3878388646	1	2	46	1	5	3	8	5
3878386420	2	3	1	3	2	1	7	5
3878381396	1	2	47	3	5	1	1	5
3878370379	1	1	1	2	2	1	12	1
3878365414	1	6	1	3	5	1	1	4
3878359420	2	5	1	5	4	1	1	1
3878352834	1	1	1	3	4	1	9	5
3878349775	1	6	1	3	5	1	9	5
3878349239	1	3	1	1	5	1	2	1
3878348366	2	8	1	3	5	3	2	3
3878348238	1	5	1	1	4	1	3	1
3878345997	1	1	1	1	5	1	3	1
3878345589	1	1	1	1	5	1	1	3
3878340200	2	6	1	1	4	1	3	7
3878340018	1	2	48	1	1	3	9	3
3878339582	2	3	1	5	5	1	12	8
3878339411	1	2	45	1	5	3	3	5
3878337550	1	2	49	3	5	1	3	7
3878336326	2	5	1	1	1	3	2	5
3878335390	2	1	1	2	5	3	2	5
3878332804	1	1	1	2	1	3	5	7
3878331425	1	2	50	2	4	1	1	1
3878324728	2	5	1	3	2	1	11	4
3878324500	1	5	1	2	5	3	2	3
3878319761	1	2	51	2	5	3	4	1
3878319271	1	5	1	2	5	3	5	7
3878317738	1	6	1	3	5	1	1	5
3878317474	2	3	1	2	5	1	3	5
3878317326	1	6	1	3	1	3	1	4
3878316445	2	3	1	3	5	3	2	8
3878315845	1	6	1	1	4	3	1	8
3878315601	1	2	52	1	4	3	2	9
3878313074	1	8	1	5	5	3	2	1
3878312380	1	1	1	2	5	1	8	10
3878311826	2	5	1	3	5	1	5	2
3878311562	1	1	1	1	1	3	5	1
3878310702	1	8	1	2	5	3	1	1
3878310569	2	7	1	3	5	3	10	5
3878309530	1	2	14	1	4	1	5	1
3878302658	2	8	1	1	5	3	5	5
3878296951	2	3	1	2	5	3	9	1
3878296336	1	6	1	5	5	3	3	3
3878295740	1	1	1	1	5	3	1	7
3878293399	1	3	1	2	1	3	10	7
3878293163	1	3	1	3	5	1	1	1
3878291970	1	6	1	2	4	3	2	8
3878286381	1	7	1	5	5	3	12	9
3878284921	1	6	1	1	1	3	10	9
3878284808	1	5	1	3	4	1	2	5
3878280708	1	8	1	2	5	3	5	10
3878278676	1	3	1	1	5	3	10	1
3878278488	1	6	1	2	5	1	10	3
3878278271	1	5	1	3	4	1	2	10
3878277161	1	2	45	1	5	1	10	9
3878275261	1	8	1	5	4	3	9	3
3878274622	1	5	1	5	4	3	9	10
3878270558	1	6	1	5	5	3	5	4
3878270404	2	1	1	3	1	3	3	7
3878269619	1	9	1	2	4	3	11	1
3878269540	1	1	1	3	1	3	2	1
3878268976	1	3	1	1	1	3	1	7
3878267217	1	6	1	1	4	3	5	4
3878263834	1	5	1	1	5	1	10	5
3878263694	1	1	1	3	5	3	2	7
3878262512	1	2	53	1	4	1	9	10
3878261302	2	2	54	3	4	3	4	7
3878259660	1	3	1	1	4	3	1	8
3878256328	1	6	1	1	4	3	7	10
3878255469	1	2	55	2	1	3	5	7
3878255097	2	1	1	5	4	3	3	6
3878253341	1	1	1	2	1	3	1	8
3878252826	1	2	56	2	5	3	3	5
3878251387	1	3	1	1	1	3	8	10
3878251359	2	6	1	1	4	3	7	5
3878249188	1	6	1	1	1	3	5	5
3878248250	1	1	1	1	1	3	3	7
3878247540	1	1	1	3	1	3	1	7
3878244194	1	6	1	1	4	1	3	1
3878243755	1	1	1	1	1	3	1	3
3878242397	1	1	1	3	5	3	5	6
3878239927	1	8	1	2	5	1	1	5
